Sample	Title	Tissue	Ecotype	Genotype	Treatment	Project	TotalReads	UniqelyMappedRate	Unnamed: 9
GSM2242718	DIFOX2_GMSUC1	seedlings	Col-0	DIF-OX2	--	PRJNA330623	16579379	0.9208	
GSM2242720	DIFOX2_Dex1	seedlings	Col-0	DIF-OX2	--	PRJNA330623	10428825	0.9186	
GSM2516569	WT rep1	rosette leaf	Col-0	wild type	--	PRJNA377549	16295013	0.9493	
GSM2516573	ref4-3 rep1	rosette leaf	Col-0	ref4-3	--	PRJNA377549	12555603	0.9473	
GSM2516581	med5ab rep1	rosette leaf	Col-0	med5a-1 med5b-1	--	PRJNA377549	18283136	0.9405	
GSM2516585	med16 rep1	rosette leaf	Col-0	sfr6-2	--	PRJNA377549	12897047	0.9503	
GSM2516589	med23 rep1	rosette leaf	Col-0	med23-4	--	PRJNA377549	13490126	0.9374	
GSM2516593	med2 ref4-3 rep1	rosette leaf	Col-0	med2-1/med2-3 ref4-3/ref4-3	--	PRJNA377549	26086330	0.8964	
GSM2516597	med5b-3 ref4-3 rep1	rosette leaf	Col-0	med5b-3 ref4-3	--	PRJNA377549	14686252	0.9302	
GSM2516601	med16 ref4-3 rep1	rosette leaf	Col-0	med16-2/med16-3 ref4-3/ref4-3	--	PRJNA377549	8413423	0.9448	
GSM2516605	med23 ref4-3 rep1	rosette leaf	Col-0	med23-1/med23-2 ref4-3/ref4-3	--	PRJNA377549	17087088	0.9393	
GSM2520860	WT 0h R1	inflorescence	Col-0	wild type	Mock	PRJNA377889	6517195	0.9037	
GSM2520862	WT 3h R1	inflorescence	Col-0	wild type	switch18to28 3h	PRJNA377889	5245208	0.909	
GSM2520864	WT 12h R1	inflorescence	Col-0	wild type	switch18to28 12h	PRJNA377889	5345429	0.9083	
GSM2520866	WT 48h R1	inflorescence	Col-0	wild type	switch18to28 48h	PRJNA377889	5855762	0.908	
GSM2520868	zed1-D 0h R1	inflorescence	Col-0	zed1-D	switch18to28 0h	PRJNA377889	5533973	0.9099	
GSM2520870	zed1-D 3h R1	inflorescence	Col-0	zed1-D	switch18to28 3h	PRJNA377889	5825948	0.91	
GSM2520872	zed1-D 12h R1	inflorescence	Col-0	zed1-D	switch18to28 12h	PRJNA377889	6172899	0.9107	
GSM2561483	Control group	root	Col-0	wild type	Mock	PRJNA381354	16569458	0.9338	
GSM2561487	ion Al treatment	root	Col-0	wild type	Al3+*	PRJNA381354	16946221	0.7932	
GSM2585960	Col_rep1	seedlings	Col-0	wild type	--	PRJNA383872	18728313	0.8238	
GSM2585963	CPL4RNAi_rep1	seedlings	Col-0	CPL4 knockdown	--	PRJNA383872	16139400	0.9085	
GSM2588917	mesophyll_col0_1	mesophyll	Col-0	wild type	--	PRJNA384192	35243604	0.7443	
GSM2636296	Col-0_rep1	leaves	Col-0	--	--	PRJNA387601	24671699	0.9476	
GSM2640548	lux-6_R1	seedlings	Col-0	lux -/-	--	PRJNA388036	12245064	0.9139	
GSM2716999	Rpm1_day3_10h_1	leaves	Col-0	--	Rpm1	PRJNA395664	20755542	0.8937	
GSM2717001	Rpm1_day3_15h_1	leaves	Col-0	--	Rpm1	PRJNA395664	20547899	0.894	
GSM2717004	MgCl2_day3_15h_1	leaves	Col-0	--	Mock	PRJNA395664	21543468	0.8895	
GSM2717007	Rpm1_day4_9h_1	leaves	Col-0	--	Rpm1	PRJNA395664	21377152	0.8938	
GSM2717010	MgCl2_day4_9h_1	leaves	Col-0	--	Mock	PRJNA395664	22756137	0.8878	
GSM2717014	MgCl2_day3_10h_1	leaves	Col-0	--	Mock	PRJNA395664	21861406	0.8799	
GSM2751087	S1	seedlings	Col-0	wild type	Mock	PRJNA399521	71329984	0.9233	
GSM2751088	M1	seedlings	Col-0	wild type	without100 mM NaCl and cultivated Hor additional 12 days.	PRJNA399521	91037038	0.9536	
GSM2751089	B1	seedlings	Col-0	wild type	containing bacterial strain SA187£¬without100 mM NaCl and cultivated Hor additional 14 days	PRJNA399521	157168358	0.8399	
GSM2751090	SB1	seedlings	Col-0	wild type	containing bacterial strain SA187	PRJNA399521	157168358	0.8414	
GSM2781373	Col0 control for k.o.-1	petal	Col-0	control for KO	--	PRJNA406971	35678014	0.9511	
GSM2781379	tcp5tcp13tcp17 k.o.-1	petal	Col-0	Tcp5Tcp13Tcp17 KO	--	PRJNA406971	28329090	0.95	
GSM2781381	Col0 control for o.e.-1	petal	Col-0	control for overexpression	--	PRJNA406971	8326409	0.9004	
GSM2781384	pATML1:TCP5 o.e.-1	petal	Col-0	pATML1	--	PRJNA406971	21379503	0.9305	
GSM2781387	Col0 0H-1	inflorescence	Col-0	control for induction	--	PRJNA406971	27592495	0.8835	
GSM2781390	Col0 2H-1	inflorescence	Col-0	control for induction	--	PRJNA406971	37956458	0.9467	
GSM2781393	Col0 8H-1	inflorescence	Col-0	control for induction	--	PRJNA406971	31022604	0.9497	
GSM2781396	35S:TCP5 0H-1	inflorescence	Col-0	35S	--	PRJNA406971	25441620	0.9483	
GSM2781399	35S:TCP5 2H-1	inflorescence	Col-0	35S	--	PRJNA406971	24788312	0.9417	
GSM2781402	35S:TCP5 8H-1	inflorescence	Col-0	35S	--	PRJNA406971	27684257	0.927	
GSM2786261	WTCol0-0-1	aerial seedling	Col-0	Wild type	--	PRJNA407573	29641451	0.9669	
GSM2786264	caa39-0-1	aerial seedling	Col-0	caa39 mutant	--	PRJNA407573	33595328	0.9625	
GSM2796121	WT-1	seedlings	Col-0	wild type	--	PRJNA412461	19262535	0.8441	
GSM2796124	lhp1-1	seedlings	Col-0	lhp1	--	PRJNA412461	17009170	0.7957	
GSM2796127	ebs shl-1	seedlings	Col-0	ebs shl	--	PRJNA412461	18522205	0.8209	
GSM2796130	ebs shl lhp1-1	seedlings	Col-0	ebs shl lhp1	--	PRJNA412461	17951659	0.7755	
GSM2796133	emf1-1	seedlings	Col-0	emf1	--	PRJNA412461	20189475	0.8576	
GSM2801321	col rep1	leaf, stem, root	Col-0	wild type	--	PRJNA412814	24001710	0.7331	
GSM2802769	1d-WT_rep1	seedlings	Col-0	wild type	--	PRJNA412889	8434083	0.8088	
GSM2802772	1d-SIG_rep1	seedlings	Col-0	sigma factor 2-2 mutant	--	PRJNA412889	6978931	0.8399	
GSM2802775	7d-WT_rep1	seedlings	Col-0	wild type	--	PRJNA412889	11462267	0.8921	
GSM2802778	7d-SIG_rep1	seedlings	Col-0	sigma factor 2-2 mutant	--	PRJNA412889	9486852	0.885	
GSM2803874	ATH_24h_n=1	root	Col-0	--	Mock	PRJNA413141	54639321	0.9003	
GSM2809930	Col-0  root +Fe+Cu Rep1	root	Col-0	wild type	+He, +Cu	PRJNA414125	17676459	0.8678	
GSM2809939	Col-0  root +Fe-Cu Rep1	root	Col-0	wild type	+He, -Cu	PRJNA414125	17477134	0.8686	
GSM2809945	Col-0 root -Fe+Cu Rep1	root	Col-0	wild type	-He, +Cu	PRJNA414125	21173604	0.8357	
GSM2809951	Col-0 root -Fe-Cu Rep1	root	Col-0	wild type	-He, -Cu	PRJNA414125	17982824	0.8702	
GSM2809957	Col-0  rosettes +Fe+Cu Rep1	rosette leaf	Col-0	wild type	+He, +Cu	PRJNA414125	19736820	0.8973	
GSM2809966	Col-0   rosettes  +Fe-Cu Rep1	rosette leaf	Col-0	wild type	+He, -Cu	PRJNA414125	18229295	0.8613	
GSM2809972	Col-0  rosettes  -Fe+Cu Rep1	rosette leaf	Col-0	wild type	-He, +Cu	PRJNA414125	16853554	0.889	
GSM2809978	Col-0  rosettes  -Fe-Cu Rep1	rosette leaf	Col-0	wild type	-He, -Cu	PRJNA414125	17500339	0.8913	
GSM2840115	wildtype 22	whole plant	Col-0	wild type	--	PRJNA417181	14084846	0.89	
GSM2840118	msh1 memory 31	whole plant	Col-0	msh1?memory	--	PRJNA417181	14672888	0.8845	
GSM2842855	WT-BL rep1	seedlings	Col-0	wild type	--	PRJNA417266	30769591	0.8802	
GSM2842857	agb1-BL rep1	seedlings	Col-0	agb1-2 mutant	--	PRJNA417266	24700215	0.8989	
GSM2842859	hy5-BL rep1	seedlings	Col-0	hy5 mutant	--	PRJNA417266	23369301	0.8911	
GSM2842861	cry1 cry2-BL rep1	seedlings	Col-0	cry1 cry2 double mutant	--	PRJNA417266	22134233	0.901	
GSM2857918	WT, rep1	flower	Col-0	wild type	--	PRJNA418578	33240642	0.8187	
GSM2857921	elf6-3ref6Cjmj13G, rep1	flower	Col-0	elf6-3ref6Cjmj13G	--	PRJNA418578	34694294	0.8101	
GSM2857924	elf6-3ref6C, rep1	flower	Col-0	elf6-3ref6C	--	PRJNA418578	29940184	0.7989	
GSM2857927	ref6-3, rep1	flower	Col-0	ref6-3	--	PRJNA418578	30196220	0.8101	
GSM2857930	ref6C, rep1	flower	Col-0	ref6C	--	PRJNA418578	33379007	0.8121	
GSM2858388	Wild-type 4	whole plant	Col-0	wild type	--	PRJNA418775	22920038	0.9019	
GSM2862604	Intact at 0 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	17002451	0.9358	
GSM2862606	Grafted bottom after 6 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	16574382	0.9356	
GSM2862608	Grafted top after 6 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	18328899	0.9414	
GSM2862610	Intact after 6 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	13056341	0.9433	
GSM2862612	Separated bottom after 6 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	17644735	0.9291	
GSM2862614	Separated top after 6 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	13745626	0.9257	
GSM2862616	Grafted bottom after 12 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	14981861	0.9075	
GSM2862618	Grafted top after 12 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	14051685	0.9517	
GSM2862620	Intact after 12 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	18971770	0.9282	
GSM2862622	Separated bottom after 12 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	12342195	0.868	
GSM2862624	Separated top after 12 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	14092368	0.9332	
GSM2862626	Grafted bottom after 24 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	9931152	0.9122	
GSM2862628	Grafted top after 24 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	15051937	0.9381	
GSM2862630	Intact after 24 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	23175754	0.9453	
GSM2862632	Separated bottom after 24 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	13049419	0.894	
GSM2862634	Separated top after 24 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	13906628	0.9153	
GSM2862636	Grafted bottom after 48 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	14237616	0.9282	
GSM2862638	Grafted top after 48 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	17215385	0.9325	
GSM2862640	Intact after 48 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	22192148	0.9425	
GSM2862642	Separated bottom after 48 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	11165453	0.93	
GSM2862644	Separated top after 48 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	22920477	0.9388	
GSM2862646	Grafted bottom after 72 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	20671371	0.9048	
GSM2862648	Grafted top after 72 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	10566127	0.8735	
GSM2862650	Intact after 72 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	10240938	0.939	
GSM2862652	Separated bottom after 72 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	16788579	0.9361	
GSM2862654	Separated top after 72 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	27002477	0.9426	
GSM2862656	Grafted bottom after 120 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	15227281	0.9385	
GSM2862658	Grafted top after 120 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	20995740	0.925	
GSM2862660	Intact after 120 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	16304477	0.9372	
GSM2862662	Separated bottom after 120 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	17550587	0.9241	
GSM2862664	Separated top after 120 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	28024409	0.8881	
GSM2862666	Grafted bottom after 168 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	17298236	0.9387	
GSM2862668	Grafted top after 168 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	13689005	0.9469	
GSM2862670	Intact after 168 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	16663038	0.9213	
GSM2862672	Separated bottom after 168 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	12378709	0.9392	
GSM2862674	Separated top after 168 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	21807733	0.9383	
GSM2862676	Grafted bottom after 240 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	18412708	0.8865	
GSM2862678	Grafted top after 240 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	11464251	0.9257	
GSM2862680	Intact after 240 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	18330592	0.9329	
GSM2862682	Separated bottom after 240 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	21227065	0.9272	
GSM2862684	Separated top after 240 hours rep1	hypocotyl	Col-0	--	--	PRJNA419306	16670276	0.9141	
GSM2882808	Col-RNA-rep1	seedlings	Col-0	wild type	--	PRJNA421832	20352713	0.8924	
GSM2890275	ect2_1	seedlings	Col-0	ECT2 T-DNA insertion mutant	--	PRJNA422492	7352928	0.9034	
GSM2891437	WT_22C_1	seedlings	Col-0	wild type	Mock	PRJNA422618	26869908	0.8759	
GSM2891440	WT_29C_1	seedlings	Col-0	wild type	heat 29	PRJNA422618	33943397	0.8736	
GSM2891443	dm_22C_1	seedlings	Col-0	BBX18-/-BBX23-/-	--	PRJNA422618	27777240	0.8598	
GSM2891446	dm_29C_1	seedlings	Col-0	BBX18-/-BBX23-/-	--	PRJNA422618	26739315	0.8655	
GSM2891449	pif4_22C_1	seedlings	Col-0	PIF4-/-	--	PRJNA422618	32463086	0.858	
GSM2891452	pif4_29C_1	seedlings	Col-0	PIF4-/-	--	PRJNA422618	30262690	0.8611	
GSM2897856	RNAseq_A_dnaj1_2_rep1	flower bud	Col-0	dnaj1, dnaj2	--	PRJNA427202	26177925	0.9169	
GSM2897859	RNAseq_A_dnaj1_rep1	flower bud	Col-0	dnaj1	--	PRJNA427202	27269416	0.9235	
GSM2897862	RNAseq_A_dnaj2_rep1	flower bud	Col-0	dnaj2	--	PRJNA427202	23456196	0.9086	
GSM2897865	RNAseq_A_suvh1_3_rep1	flower bud	Col-0	suvh1, suvh3	--	PRJNA427202	24382262	0.921	
GSM2897868	RNAseq_A_suvh1_rep1	flower bud	Col-0	suvh1	--	PRJNA427202	33628024	0.9209	
GSM2897871	RNAseq_A_suvh3_rep1	flower bud	Col-0	suvh3	--	PRJNA427202	29178009	0.9186	
GSM2897874	RNAseq_A_WT_rep1	flower bud	Col-0	wild type	--	PRJNA427202	27463197	0.8878	
GSM2897877	RNAseq_B_WTcontrol_rep1	leaves	Col-0	wild type	--	PRJNA427202	20423903	0.9448	
GSM2904733	Col-0-1 rep1	seed	Col-0	wild type	--	PRJNA427587	16049374	0.9044	
GSM2904739	Col-0-2 rep1	seed	Col-0	wild type	--	PRJNA427587	21718673	0.9005	
GSM2906492	Non-stressed WT plants replicate 1	whole plant	Col-0	Wild type	Mock	PRJNA427817	22795989	0.8573	
GSM2906494	Drought-stressed WT plants replicate 1	whole plant	Col-0	Wild type	drought	PRJNA427817	23509631	0.7636	
GSM2906496	Non-stressed VaWRKY14-overexpressing plants replicate 1	whole plant	Col-0	VaWRKY14-overexpressing	--	PRJNA427817	23552674	0.8826	
GSM2913047	WT mRNA-seq rep1	leaves	Col-0	Wild type	--	PRJNA428511	22883341	0.891	
GSM2913051	mta mRNA-seq rep1	leaves	Col-0	ABI3	--	PRJNA428511	23659032	0.8801	
GSM2913063	mta GMUCT rep1	leaves	Col-0	ABI3	--	PRJNA428514	40437878	0.8306	
GSM2915669	wt_rep1	seedlings	Col-0	wild type	--	PRJNA429044	25674103	0.8945	
GSM2915671	cml39_rep1	seedlings	Col-0	cml39 -/-	--	PRJNA429044	23354799	0.8922	
GSM2915883	Control_1	seedlings	Col-0	--	Mock	PRJNA429126	21730526	0.9104	
GSM2915886	BA_1	seedlings	Col-0	--	BA	PRJNA429126	21745917	0.9049	
GSM2916550	wt rep1	seedlings	Col-0	wild type	--	PRJNA429247	24247121	0.9096	
GSM2916556	swn rep1	seedlings	Col-0	swn-4 -/-	--	PRJNA429247	18630733	0.9178	
GSM2932248	RNAseq_col0_for_ZF108-TET1cd_T3_rep1	leaves	Col-0	Col-0	--	PRJNA429659	21662611	0.854	
GSM2933104	wt_0h_r1	seedlings	Col-0	wild type	Mock	PRJNA429781	25192921	0.8906	
GSM2933107	wt_2h_r1	seedlings	Col-0	wild type	Hlg22 2h	PRJNA429781	22287545	0.8823	
GSM2933110	tri_0h_r1	seedlings	Col-0	Col-0 wrky18 wrky40 wrky33 triple mutant	untreated	PRJNA429781	26219061	0.8875	
GSM2933113	tri_2h_r1	seedlings	Col-0	Col-0 wrky18 wrky40 wrky33 triple mutant	Hlg22-treated	PRJNA429781	22205972	0.8865	
GSM2934431	Col0_1	whole plant	Col-0	wild type	Mock	PRJNA429824	17889362	0.9354	
GSM2934437	Col0AZA_1	whole plant	Col-0	wild type	5-azacytidine	PRJNA429824	12265605	0.9441	
GSM2934452	MLAZA_1	whole plant	Col-0	msh1 memory line	--	PRJNA429824	17857238	0.9361	
GSM2941982	SnRK knockdown + Est replicate 1	seedlings	Col-0	snrk1-alpha-1 ko + inducible snrk1-alpha-2 knockdown	--	PRJNA430725	7445561	0.8664	
GSM2941988	S1 bZIP knockdown + Est replicate 1	seedlings	Col-0	bZIP1/bZIP53 ko + inducible group bZIP2/-11/-44 knockdown	--	PRJNA430725	9624116	0.8723	
GSM2947236	Col-0 DMSO_rep1	seedlings	Col-0	wild type	Mock	PRJNA431488	16050190	0.901	
GSM2947239	Col-0 isoxaben_rep1	seedlings	Col-0	wild type	isoxaben	PRJNA431488	11178742	0.8976	
GSM2947242	nia1/2 DMSO_rep1	seedlings	Col-0	nia1/2	DMSO	PRJNA431488	11225726	0.8594	
GSM2947244	nia1/2 isoxaben_rep1	seedlings	Col-0	nia1/2	isoxaben	PRJNA431488	15609344	0.8892	
GSM2948188	RNAseq_4d_exp1	seedlings	Col-0	--	--	PRJNA431621	17029356	0.8863	
GSM2974957	RNA-seq_rep1	seedlings	Col-0	--	--	PRJNA432502	9930992	0.8812	
GSM2992336	RNA-seq of bzr1-1D_D_1	hypocotyl	Col-0	bzr1-1D	PPZ plus DPI condition	PRJNA433852	23409352	0.7856	
GSM2992339	RNA-seq of bzr1-1D_DH_1	hypocotyl	Col-0	bzr1-1D	PPZ plus DPI and H2O2 condition	PRJNA433852	23366362	0.757	
GSM2992341	RNA-seq of bzr1-1D_M_1	hypocotyl	Col-0	bzr1-1D	Mock	PRJNA433852	22735979	0.7042	
GSM2992344	RNA-seq of Col_D_1	hypocotyl	Col-0	wild type	PPZ plus DPI VS PPZ	PRJNA433852	23318755	0.8203	
GSM2992347	RNA-seq of Col_M_1	hypocotyl	Col-0	wild type	Mock	PRJNA433852	23301152	0.8346	
GSM3014771	WT_treated_1	seedlings	Col-0	wild type	SA	PRJNA434313	23288875	0.9394	
GSM3014773	WT_untreated_1	seedlings	Col-0	wild type	Mock	PRJNA434313	22679338	0.9386	
GSM3014775	npr1-1_treated_1	seedlings	Col-0	npr1-1	SA treated	PRJNA434313	22940317	0.9394	
GSM3014777	npr1-1_untreated_1	seedlings	Col-0	npr1-1	Mock	PRJNA434313	21787666	0.9369	
GSM3014779	npr4-4D_treated_1	seedlings	Col-0	npr4-4D	SA treated	PRJNA434313	22880618	0.9415	
GSM3014781	npr4-4D_untreated_1	seedlings	Col-0	npr4-4D	Mock	PRJNA434313	21432369	0.9391	
GSM3014783	npr1-1_npr4-4D_treated_1	seedlings	Col-0	npr1-1_npr4-4D	SA treated	PRJNA434313	21411503	0.8287	
GSM3014785	npr1-1_npr4-4D_untreated_1	seedlings	Col-0	npr1-1_npr4-4D	Mock	PRJNA434313	23532451	0.801	
GSM3026964	Col_Rep1	seedlings	Col-0	wild type	--	PRJNA436256	15820025	0.9215	
GSM3026967	cpr1 aba1_Rep1	seedlings	Col-0	cpr1 aba1	--	PRJNA436256	18345384	0.8969	
GSM3026970	Col__Rep1	seedlings	Col-0	wild type	--	PRJNA436256	16780402	0.91	
GSM3026973	pTPR1-TPR1-HA_Rep1	seedlings	Col-0	pTPR1-TPR1-HA	--	PRJNA436256	22546303	0.8574	
GSM3027900	WT (dataset 2) rep1	rosette leaf	Col-0	wild type	--	PRJNA436416	13495263	0.9205	
GSM3027903	ref4-3 (dataset 2) rep1	rosette leaf	Col-0	ref4-3	--	PRJNA436416	14695955	0.9187	
GSM3027906	cdk8-1 (dataset 2) rep1	rosette leaf	Col-0	cdk8-1	--	PRJNA436416	13830570	0.9063	
GSM3027909	ref4-3 dk8-1 (dataset 2) rep1	rosette leaf	Col-0	ref4-3 cdk8-1	--	PRJNA436416	14594647	0.945	
GSM3027912	ref4-1 (dataset 2) rep1	rosette leaf	Col-0	ref4-1	--	PRJNA436416	15223063	0.9426	
GSM3035092	Col-0 mRNA-Seq rep1	seedlings	Col-0	--	--	PRJNA437500	16699265	0.8829	
GSM3037960	WT-1	apical hook	Col-0	wild type	--	PRJNA437964	16815807	0.7813	
GSM3040086	Col_0_rep1	seedlings	Col-0	Col-0	--	PRJNA438240	14965147	0.8458	
GSM3075908	Col-0 replicate 1	seedlings	Col-0	wild type	--	PRJNA448672	39116831	0.8359	
GSM3075911	cop1 replicate 1	seedlings	Col-0	cop1-4	--	PRJNA448672	42812777	0.7951	
GSM3075914	spaQ replicate 1	seedlings	Col-0	spaQ	--	PRJNA448672	36771672	0.8272	
GSM3091996	WT_L_rep1	seedlings	Col-0	wild type	Light	PRJNA449911	30297164	0.9215	
GSM3091998	WT_D_rep1	seedlings	Col-0	wild type	Dark	PRJNA449911	37947816	0.9337	
GSM3092000	det1-1_L_rep1	seedlings	Col-0	det1-1	Light	PRJNA449911	25625838	0.9217	
GSM3092002	det1-1_D_rep1	seedlings	Col-0	det1-1	Dark	PRJNA449911	30234495	0.8681	
GSM3092004	ubp22_L_rep1	seedlings	Col-0	ubp22	Light	PRJNA449911	32582590	0.9139	
GSM3092006	det1-1ubp22_L_rep1	seedlings	Col-0	det1-1ubp22	Light	PRJNA449911	32820563	0.923	
GSM3137763	Col-0 WT Total 1	stem	Col-0	wild type	--	PRJNA470540	51604837	0.9574	
GSM3137768	Col-0 WT TRAP 1	stem	Col-0	wild type TRAP	--	PRJNA470540	41530424	0.9564	
GSM3138457	Wild type plus P_Exp 1	root	Col-0	wild type	Mock	PRJNA470669	21545031	0.9245	
GSM3138458	Wild type minus P_Exp 1	root	Col-0	wild type	Pi deHicient	PRJNA470669	19701254	0.9271	
GSM3138460	bzr1-D minus P_Exp 1	root	Col-0	bzr1-D	--	PRJNA470669	22256251	0.9096	
GSM3140716	pyl duodecuple-ABA-r1	seedlings	Col-0	pyl duodecuple	100 microM ABA Hor 24 hours	PRJNA471243	17972386	0.874	
GSM3140719	pyl duodecuple-osmotic stress-r1	seedlings	Col-0	pyl duodecuple	300 mM mannitol Hor 24 hours	PRJNA471243	18794774	0.7652	
GSM3140722	pyl duodecuple-control-r1	seedlings	Col-0	pyl duodecuple	1/2 MS Hor 24 hours	PRJNA471243	20254021	0.8402	
GSM3140725	Col-0-ABA-r1	seedlings	Col-0	wild type	100 microM ABA Hor 24 hours	PRJNA471243	18541863	0.9179	
GSM3140728	Col-0-osmotic stress-r1	seedlings	Col-0	wild type	300 mM mannitol Hor 24 hours	PRJNA471243	20924237	0.905	
GSM3140731	Col-0-control-r1	seedlings	Col-0	wild type	1/2 MS Hor 24 hours	PRJNA471243	18187249	0.916	
GSM3146384	x01_ABA_L12_rep01	leaves	Col-0	--	ABA 48h	PRJNA472051	15951158	0.8985	
GSM3154469	clf-29 swn-4 rep1	seedlings	Col-0	clf-29 swn-4	--	PRJNA429247	23896240	0.9221	
GSM3184401	ZT4_seedling_1	seedlings	Col-0	wild type	photoperiod*	PRJNA475542	36290169	0.8629	
GSM3184415	ZT6_seedling_1	seedlings	Col-0	wild type	photoperiod*	PRJNA475542	30062084	0.8636	
GSM3184457	ZT12_seedling_1	seedlings	Col-0	wild type	photoperiod*	PRJNA475542	10441932	0.8708	
GSM3228269	Control mRNA-seq rep1	rosette leaf	Col-0	UBQ10	--	PRJNA478206	18396816	0.7275	
GSM3228382	Control GMUCT Rep1	rosette leaf	Col-0	UBQ10	--	PRJNA478205	84246740	0.7173	
GSM3228385	Salt GMUCT Rep1	rosette leaf	Col-0	UBQ10	--	PRJNA478205	60124145	0.7199	
GSM3242200	Col-0_rep_1	root tip	Col-0	wild type	--	PRJNA478919	21401420	0.8768	
GSM3242204	hsl2_rep_2	root tip	Col-0	hsl2	--	PRJNA478919	21425524	0.8465	
GSM3258328	Col-0_rep1	rosette leaf	Col-0	wild type	--	PRJNA479861	18213230	0.9029	
GSM3258331	jazQ_rep1	rosette leaf	Col-0	jazQ	--	PRJNA479861	16352788	0.8949	
GSM3262067	Arabidopsis_Col-0_R1	aerial seedling	Col-0	wild type	--	PRJNA480268	16359424	0.9132	
GSM3262069	Arabidopsis_hls1_R1	aerial seedling	Col-0	hls1	--	PRJNA480268	14210916	0.9163	
GSM3262071	Arabidopsis_pifq ein3 eil1_R1	aerial seedling	Col-0	pifq ein3 eil1	--	PRJNA480268	16162468	0.8978	
GSM3262073	Arabidopsis_ein3 eil1_R1	aerial seedling	Col-0	ein3 eil1	--	PRJNA480268	17051998	0.8208	
GSM3262075	Arabidopsis_pifq_R1	aerial seedling	Col-0	pifq	--	PRJNA480268	18864936	0.9328	
GSM3271472	Col-0 red rep1	seedlings	Col-0	wild type	1h red light	PRJNA481068	21632857	0.9075	
GSM3271475	cop1 red rep1	seedlings	Col-0	cop1-4	1h red light	PRJNA481068	31778476	0.8997	
GSM3271478	spaQ red rep1	seedlings	Col-0	spaQ	1h red light	PRJNA481068	18386821	0.9116	
GSM3271481	phyB full length dark rep1	seedlings	Col-0	phyB full length	dark control	PRJNA481068	17229728	0.9215	
GSM3271484	phyB c-term deletion dark rep1	seedlings	Col-0	phyB C-terminal deletion	dark control	PRJNA481068	23300436	0.9173	
GSM3271487	phyB full length red rep1	seedlings	Col-0	phyB full length	1h red light	PRJNA481068	18309342	0.9092	
GSM3271490	phyB c-term deletion red rep1	seedlings	Col-0	phyB C-terminal deletion	1h red light	PRJNA481068	27062101	0.9184	
GSM3290595	Col_Control_0min_Local Leaf_rep_1	leaves	Col-0	wild type	Mock	PRJNA481720	16451870	0.9023	
GSM3290596	Col_Control_0min_Systemic Leaf_rep_1	leaves	Col-0	wild type	Mock	PRJNA481720	18783132	0.8962	
GSM3290597	Col_Highlight_2min_Local Leaf_rep_1	leaves	Col-0	wild type	Highlight	PRJNA481720	16252758	0.8913	
GSM3290598	Col_Highlight_2min_Systemic Leaf_rep_1	leaves	Col-0	wild type	Highlight	PRJNA481720	19072202	0.8915	
GSM3290599	Col_Highlight_4min_Local Leaf_rep_1	leaves	Col-0	wild type	Highlight	PRJNA481720	16100297	0.9056	
GSM3290600	Col_Highlight_4min_Systemic Leaf_rep_1	leaves	Col-0	wild type	Highlight	PRJNA481720	20397937	0.9017	
