Sample,Title,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqelyMappedRate,
SRX2363386,cwc16 biological replicate 1,seedlings,Col-0,--,--,PRJNA354104,22208714,0.9438,
SRX2363387,cwc16 biological replicate 2,seedlings,Col-0,--,--,PRJNA354104,22803392,0.946,
SRX2363388,cwc16 biological replicate 3,seedlings,Col-0,--,--,PRJNA354104,53759717,0.958,
SRX2363389,cwc16 biological replicate 4,seedlings,Col-0,--,--,PRJNA354104,24656283,0.9658,
SRX2363390,cwc16 biological replicate 5,seedlings,Col-0,--,--,PRJNA354104,24606893,0.9657,
SRX2363391,smu1 biological replicate 1,seedlings,Col-0,--,--,PRJNA354104,23890343,0.9429,
SRX2363392,smu1 biological replicate 2,seedlings,Col-0,--,--,PRJNA354104,21566093,0.9456,
SRX2363393,smu1 biological replicate 3,seedlings,Col-0,--,--,PRJNA354104,54112924,0.961,
SRX2363394,smu1 biological replicate 4,seedlings,Col-0,--,--,PRJNA354104,23549826,0.9693,
SRX2363395,smu1 biological replicate 5,seedlings,Col-0,--,--,PRJNA354104,22362011,0.9703,
SRX2367814,"seven-day plants(root) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep1",root,Col-0,cbl1 mutant,without 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,7477548,0.836,
SRX2367853,"seven-day plants(root) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep2",root,Col-0,cbl1 mutant,without 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,7951355,0.8351,
SRX2367906,"seven-day plants(root) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep3",root,Col-0,cbl1 mutant,without 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,6178628,0.8718,
SRX2367910,"seven-day plants(shoot) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep1",shoot,Col-0,cbl1 mutant,without 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,6389625,0.8478,
SRX2367911,"seven-day plants(shoot) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep2",shoot,Col-0,cbl1 mutant,without 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,5941268,0.8494,
SRX2367912,"seven-day plants(shoot) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep3",shoot,Col-0,cbl1 mutant,without 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,7387370,0.8502,
SRX2367913,"seven-day plants(root) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep1",root,Col-0,cbl1 mutant,with 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,11124263,0.8165,
SRX2367914,"seven-day plants(root) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep2",root,Col-0,cbl1 mutant,with 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,7819726,0.8382,
SRX2367915,"seven-day plants(root) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep3",root,Col-0,cbl1 mutant,with 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,10238876,0.8372,
SRX2367916,"seven-day plants(shoot) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep1",shoot,Col-0,cbl1 mutant,with 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,7633269,0.8464,
SRX2367917,"seven-day plants(shoot) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep2",shoot,Col-0,cbl1 mutant,with 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,7973369,0.8526,
SRX2367918,"seven-day plants(shoot) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep3",shoot,Col-0,cbl1 mutant,with 20 ¦ÌM AlCl3 Hor 24 h,PRJNA354456,12978827,0.8551,
SRX2367981,"seven-day plants(root) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep1",root,Col-0,wild type,Mock,PRJNA354456,7098725,0.8557,
SRX2367982,"seven-day plants(root) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep2",root,Col-0,wild type,Mock,PRJNA354456,5220914,0.8636,
SRX2367983,"seven-day plants(root) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep3",root,Col-0,wild type,Mock,PRJNA354456,5054859,0.8386,
SRX2367984,"seven-day plants(shoot) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep1",shoot,Col-0,wild type,Mock,PRJNA354456,6834193,0.8647,
SRX2367985,"seven-day plants(shoot) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep2",shoot,Col-0,wild type,Mock,PRJNA354456,6523595,0.8833,
SRX2367986,"seven-day plants(shoot) grown in fresh nutrient solution without 20 ¦ÌM AlCl3 for 24 h, rep3",shoot,Col-0,wild type,Mock,PRJNA354456,5875184,0.8774,
SRX2367987,"seven-day plants(root) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep1",root,Col-0,wild type,AlCl3,PRJNA354456,6654117,0.8744,
SRX2367989,"seven-day plants(root) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep2",root,Col-0,wild type,AlCl3,PRJNA354456,6615326,0.8705,
SRX2367990,"seven-day plants(root) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep3",root,Col-0,wild type,AlCl3,PRJNA354456,8221179,0.8618,
SRX2367991,"seven-day plants(shoot) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep1",shoot,Col-0,wild type,AlCl3,PRJNA354456,5394363,0.8792,
SRX2367992,"seven-day plants(shoot) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep2",shoot,Col-0,wild type,AlCl3,PRJNA354456,5973282,0.8737,
SRX2367993,"seven-day plants(shoot) grown in fresh nutrient solution with 20 ¦ÌM AlCl3 for 24 h, rep3",shoot,Col-0,wild type,AlCl3,PRJNA354456,12588594,0.8854,
SRX2369539,WT_3,leaves,Col-0,wild type,--,PRJNA354567,24974185,0.8817,
SRX2369540,OE_1,leaves,Col-0,OE,--,PRJNA354567,25058805,0.8498,
SRX2369541,WT_1,leaves,Col-0,wild type,--,PRJNA354567,20276629,0.9017,
SRX2369542,WT_2,leaves,Col-0,wild type,--,PRJNA354567,24639711,0.8988,
SRX2369543,OE_3,leaves,Col-0,OE,--,PRJNA354567,20012889,0.8297,
SRX2369544,OE_2,leaves,Col-0,OE,--,PRJNA354567,27319661,0.8624,
SRX2374756,TM-1 65 DPA,whole plant,Col-0,--,white light_6h,PRJNA354686,34798816,0.9161,
SRX2374757,TM-1 76 DPA,whole plant,Col-0,--,--,PRJNA354686,40420550,0.824,
SRX2374758,TM-1 60 DPA,whole plant,Col-0,--,JA_6h,PRJNA354686,32883045,0.8639,
SRX2374759,TM-1 61 DPA,whole plant,Col-0,--,JA_6h,PRJNA354686,34066991,0.9117,
SRX2374760,TM-1 55 DPA,whole plant,Col-0,--,Mock,PRJNA354686,36277116,0.9127,
SRX2374761,TM-1 69 DPA,whole plant,Col-0,--,white light_6h,PRJNA354686,34859256,0.9177,
SRX2374762,TM-1 67 DPA,whole plant,Col-0,--,white light_6h,PRJNA354686,31072913,0.9171,
SRX2374763,TM-1 73 DPA,whole plant,Col-0,--,--,PRJNA354686,38473059,0.873,
SRX2374764,TM-1 56 DPA,whole plant,Col-0,--,Mock,PRJNA354686,36277116,0.8677,
SRX2374765,TM-1 63 DPA,whole plant,Col-0,--,JA_6h,PRJNA354686,37244773,0.9125,
SRX2374766,TM-1 62 DPA,whole plant,Col-0,--,JA_6h,PRJNA354686,34066991,0.8631,
SRX2374767,TM-1 53 DPA,whole plant,Col-0,--,Mock,PRJNA354686,35069935,0.9111,
SRX2374768,TM-1 74 DPA,whole plant,Col-0,--,--,PRJNA354686,38473059,0.8188,
SRX2374769,TM-1 71 DPA,whole plant,Col-0,--,--,PRJNA354686,31866011,0.8733,
SRX2374770,TM-1 70 DPA,whole plant,Col-0,--,white light_6h,PRJNA354686,34859256,0.8773,
SRX2374771,TM-1 75 DPA,whole plant,Col-0,--,--,PRJNA354686,40420550,0.8725,
SRX2374772,TM-1 68 DPA,whole plant,Col-0,--,white light_6h,PRJNA354686,31072913,0.8701,
SRX2374773,TM-1 59 DPA,whole plant,Col-0,--,JA_6h,PRJNA354686,32883045,0.9131,
SRX2374774,TM-1 72 DPA,whole plant,Col-0,--,--,PRJNA354686,31866011,0.83,
SRX2374775,TM-1 58 DPA,whole plant,Col-0,--,Mock,PRJNA354686,29900078,0.8406,
SRX2374776,TM-1 66 DPA,whole plant,Col-0,--,white light_6h,PRJNA354686,34798816,0.8697,
SRX2374777,TM-1 54 DPA,whole plant,Col-0,--,Mock,PRJNA354686,35069935,0.8604,
SRX2374778,TM-1 64 DPA,whole plant,Col-0,--,JA_6h,PRJNA354686,37244773,0.8602,
SRX2374779,TM-1 57 DPA,whole plant,Col-0,--,Mock,PRJNA354686,29900078,0.902,
SRX2375234,2-WT-H,seedlings,Col-0,wild type,heat,PRJNA354949,13262938,0.9169,
SRX2375235,1-WT-H,seedlings,Col-0,wild type,heat,PRJNA354949,11346795,0.92,
SRX2375236,1-WT-CK,seedlings,Col-0,wild type,Mock,PRJNA354949,15495757,0.9332,
SRX2375240,1-TabZIP60s-CK,seedlings,Col-0,TabZIP60s overexpression line,Mock,PRJNA354949,12305502,0.9373,
SRX2375241,2-TabZIP60s-CK,seedlings,Col-0,TabZIP60s overexpression line,Mock,PRJNA354949,10890989,0.9215,
SRX2375242,2-TabZIP60s-H,seedlings,Col-0,TabZIP60s overexpression line,heat,PRJNA354949,12301719,0.9276,
SRX2375243,2-WT-CK,seedlings,Col-0,wild type,Mock,PRJNA354949,13993559,0.9422,
SRX2375244,1-TabZIP60s-H,seedlings,Col-0,TabZIP60s overexpression line,heat,PRJNA354949,11143744,0.9389,
SRX2398178,BCY.D100h.rep1,seedlings,--,BCY,--,PRJNA356373,21833544,0.8006,
SRX2398179,BCY.D100h.rep2,seedlings,--,BCY,--,PRJNA356373,21167864,0.8627,
SRX2398180,BCY.D100h.rep3,seedlings,--,BCY,--,PRJNA356373,17129862,0.8435,
SRX2398181,phyB-9.D100h.rep1,seedlings,--,phyB-9,--,PRJNA356373,17991199,0.8118,
SRX2398182,phyB-9.D100h.rep2,seedlings,--,phyB-9,--,PRJNA356373,20319198,0.7959,
SRX2398183,phyB-9.D100h.rep3,seedlings,--,phyB-9,--,PRJNA356373,19071329,0.7261,
SRX2413427,Sample-OE1,stem,Col-0,--,--,PRJNA356835,9612411,0.8681,
SRX2413428,Sample-OE3,stem,Col-0,--,--,PRJNA356835,12990311,0.8928,
SRX2413429,Sample-OE2,stem,Col-0,--,--,PRJNA356835,11064523,0.8808,
SRX2413430,Sample-W1,stem,Col-0,--,--,PRJNA356835,15850353,0.8634,
SRX2413431,Sample-W3,stem,Col-0,--,--,PRJNA356835,13836400,0.889,
SRX2413432,Sample-W2,stem,Col-0,--,--,PRJNA356835,15221764,0.8752,
SRX2414380,Arabidopsis thaliana Raw sequence reads,root,Col-0,--,--,PRJNA356998,12447040,0.8522,
SRX2414381,Arabidopsis thaliana Raw sequence reads,root,Col-0,--,--,PRJNA356998,13816193,0.8587,
SRX2414382,Arabidopsis thaliana Raw sequence reads,root,Col-0,--,--,PRJNA356998,14095299,0.7688,
SRX2433173,V2B,aerial seedling,Col-0,--,Mock,PRJNA357872,58691534,0.8714,
SRX2433174,V10A,aerial seedling,Col-0,--,photoperiod timepoint10,PRJNA357872,43735416,0.9048,
SRX2433175,V2A,aerial seedling,Col-0,--,Mock,PRJNA357872,32931123,0.8737,
SRX2433176,V6A,aerial seedling,Col-0,--,photoperiod timepoint6,PRJNA357872,63548013,0.8987,
SRX2433177,V2C,aerial seedling,Col-0,--,Mock,PRJNA357872,49689943,0.8916,
SRX2433178,V10C,aerial seedling,Col-0,--,photoperiod timepoint10,PRJNA357872,64153683,0.8445,
SRX2433179,V6C,aerial seedling,Col-0,--,photoperiod timepoint6,PRJNA357872,34348436,0.897,
SRX2433180,V6B,aerial seedling,Col-0,--,photoperiod timepoint6,PRJNA357872,50349292,0.8877,
SRX2433181,V10B,aerial seedling,Col-0,--,photoperiod timepoint10,PRJNA357872,41747413,0.9039,
SRX2435415,2xCol X 4xC24 rep 1,embryo,C24/Col-0,--,--,PRJNA358016,34360877,0.9011,
SRX2435416,4xC24 X 2xCol rep3,embryo,C24/Col-0,--,--,PRJNA358016,31752285,0.9132,
SRX2435417,2xCol X 4xC24 rep 2,embryo,C24/Col-0,--,--,PRJNA358016,32714071,0.9065,
SRX2435418,2xCol X 4xC24 rep 3,embryo,C24/Col-0,--,--,PRJNA358016,26155296,0.9175,
SRX2435419,4xC24 X 2xCol rep2,embryo,C24/Col-0,--,--,PRJNA358016,31273667,0.9257,
SRX2435420,4xC24 X 2xCol rep1,embryo,C24/Col-0,--,--,PRJNA358016,29578729,0.9177,
SRX2436385,Pplus,seedlings,Col-0,--,Pi plus,PRJNA354802,8292474,0.8139,
SRX2436388,Pplus,seedlings,Col-0,--,Pi plus,PRJNA354802,8042045,0.7132,
SRX2436390,Pplus,seedlings,Col-0,--,Pi plus,PRJNA354802,12734814,0.847,
SRX2436392,Pminus,seedlings,Col-0,--,Pi minus,PRJNA354802,12859649,0.7002,
SRX2436394,Pminus,seedlings,Col-0,--,Pi minus,PRJNA354802,9298876,0.853,
SRX2436397,Pminus,seedlings,Col-0,--,Pi minus,PRJNA354802,9711406,0.8329,
SRX2436481,TH22 silique,siliques,Col-0,BnLATE,--,PRJNA358106,9772827,0.6992,
SRX2436482,wt silique,siliques,Col-0,wild type,--,PRJNA358106,26345037,0.7442,
SRX2437965,microbial imrpovement of iron upatke in Arabidopsis,whole plant,Col-0,--,--,PRJNA358261,17431356,0.9156,
SRX2438615,Rpm1_wildtype_1,leaves,Col-0,Col-0,Mock,PRJNA358395,27745724,0.8777,
SRX2438616,Rpm1_wildtype_2,leaves,Col-0,Col-0,Mock,PRJNA358395,27056776,0.8874,
SRX2438617,Rpm1_camta3D_1,leaves,Col-0,camta3-D (sr1-4d),Mock,PRJNA358395,28067966,0.8843,
SRX2438620,Rps4_wildtype_2,leaves,Col-0,wild type,AvrRps4,PRJNA358395,27931244,0.8854,
SRX2438621,Flg22_wildtype_1,leaves,Col-0,wild type,100 nM oH Hlg22,PRJNA358395,29518658,0.8896,
SRX2438623,Flg22_camta3D_1,leaves,Col-0,camta3-D (sr1-4d),100 nM oH Hlg22,PRJNA358395,19108097,0.8834,
SRX2438624,Flg22_camta3D_2,leaves,Col-0,camta3-D (sr1-4d),100 nM oH Hlg22,PRJNA358395,21019062,0.895,
SRX2438626,Rps4_camta3D_2,leaves,Col-0,camta3-D (sr1-4d),AvrRps4,PRJNA358395,22075803,0.8887,
SRX2458871,ga1-13 + Mock24h,shoot,Col-0,--,--,PRJNA359514,54417340,0.8985,
SRX2458872,ga1-13 pkl + Mock24h,shoot,Col-0,--,--,PRJNA359514,51097620,0.9018,
SRX2458873,ga1-13 pkl + GA24h,shoot,Col-0,--,--,PRJNA359514,49880574,0.9092,
SRX2458874,ga1-13 + GA24h,shoot,Col-0,--,--,PRJNA359514,51203462,0.8997,
SRX2482983,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,24959949,0.9175,
SRX2482984,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,22066842,0.9366,
SRX2482985,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,21860935,0.9455,
SRX2482986,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,21293533,0.9401,
SRX2482987,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,21601586,0.947,
SRX2482988,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,20592451,0.9289,
SRX2482989,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,19739144,0.9446,
SRX2482990,Arabidopsis thaliana Col-0 wild-type transcriptome,--,Col-0,wild type,--,PRJNA265482,23424033,0.9326,
SRX2482993,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,19212377,0.9485,
SRX2482994,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,19235448,0.7824,
SRX2482995,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,23817683,0.9335,
SRX2482996,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,20905415,0.9429,
SRX2482997,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,19184643,0.9412,
SRX2482998,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,23269100,0.9313,
SRX2482999,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,20879272,0.8904,
SRX2483000,Arabidopsis thaliana Col-0 gio11/12 transcriptome,--,Col-0,gio11/12,--,PRJNA265481,23258034,0.9342,
SRX2483001,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,19709729,0.9447,
SRX2483002,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,19029061,0.9525,
SRX2483003,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,20812814,0.9264,
SRX2483004,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,34565962,0.9203,
SRX2483005,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,19077639,0.89,
SRX2483006,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,23931991,0.943,
SRX2483007,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,24029386,0.945,
SRX2483008,Arabidopsis thaliana Col-0 wrkyA mutant transcriptome,--,Col-0,wrkyA mutant,--,PRJNA265492,24658630,0.9508,
SRX2483014,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,18479687,0.9487,
SRX2483015,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,18749527,0.9322,
SRX2483016,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,22811757,0.9453,
SRX2483017,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,21210048,0.9308,
SRX2483018,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,23207311,0.9308,
SRX2483019,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,22783375,0.9235,
SRX2483020,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,20846912,0.9397,
SRX2483021,Arabidopsis thaliana Col-0 GIO12 transcriptome,--,Col-0,GIO12,--,PRJNA265480,20762380,0.9479,
SRX2494142,wl-Col-0 rep1,seedlings,Col-0,wild type,Mock,PRJNA360878,23926932,0.889,
SRX2495640,gcn5,stem,gcn5,--,--,PRJNA361532,13647225,0.8733,
SRX2495641,gcn5,stem,gcn5,--,--,PRJNA361532,10101804,0.8733,
SRX2495642,gcn5,stem,gcn5,--,--,PRJNA361532,11070873,0.8761,
SRX2495643,Ws,stem,Wassilewskija,--,--,PRJNA361532,11046903,0.9252,
SRX2495644,Ws,stem,Wassilewskija,--,--,PRJNA361532,11570674,0.909,
SRX2495645,Ws,stem,Wassilewskija,--,--,PRJNA361532,11167082,0.9227,
SRX2499150,wl-Col-0  rep2,seedlings,Col-0,wild type,Mock,PRJNA360878,23911869,0.8948,
SRX2499151,wl-phyA-211 rep1,seedlings,Col-0,phyA mutant,--,PRJNA360878,23856317,0.876,
SRX2499152,wl-phyA-211 rep2,seedlings,Col-0,phyA mutant,--,PRJNA360878,23817113,0.7922,
SRX2499457,sh(0.8)-Col-0 rep1,seedlings,Col-0,wild type,low R/HR (0.8),PRJNA360878,23911732,0.8587,
SRX2499458,sh(0.8)-Col-0 rep2,seedlings,Col-0,wild type,low R/HR (0.8),PRJNA360878,23931349,0.8485,
SRX2499459,sh(0.8)-phyA-211 rep1,seedlings,Col-0,phyA mutant,--,PRJNA360878,23702348,0.8403,
SRX2499460,sh(0.8)-phyA-211 rep2,seedlings,Col-0,phyA mutant,--,PRJNA360878,23935676,0.8528,
SRX2499461,sh(0.2)-Col-0 rep1,seedlings,Col-0,wild type,low R/HR (0.2),PRJNA360878,23843503,0.8262,
SRX2499462,sh(0.2)-Col-0 rep2,seedlings,Col-0,wild type,low R/HR (0.2),PRJNA360878,23931254,0.8451,
SRX2499466,sh(0.2)-phyA-211 rep1,seedlings,Col-0,phyA mutant,--,PRJNA360878,23890125,0.8397,
SRX2499468,sh(0.2)-phyA-211 rep2,seedlings,Col-0,phyA mutant,--,PRJNA360878,22364467,0.8169,
SRX2510629,dcl4 rdr6,rosette leaf,Col-0,dcl4-2 rdr6-11 double mutant,--,PRJNA362650,23416591,0.9403,
SRX2510630,dcl4 rdr6,rosette leaf,Col-0,dcl4-2 rdr6-11 double mutant,--,PRJNA362650,10400231,0.9052,
SRX2510631,dcl4-G,rosette leaf,Col-0,dcl4-2 mutant,--,PRJNA362650,20793586,0.935,
SRX2510632,dcl4-G,rosette leaf,Col-0,dcl4-2 mutant,--,PRJNA362650,10539480,0.8915,
SRX2510633,dcl4-P,rosette leaf,Col-0,dcl4-2 mutant,--,PRJNA362650,22285941,0.9332,
SRX2510634,dcl4-P,rosette leaf,Col-0,dcl4-2 mutant,--,PRJNA362650,10556091,0.8896,
SRX2510635,dcl2 dcl4,rosette leaf,Col-0,dcl2-1 dcl4-2 double mutant,--,PRJNA362650,20583170,0.9407,
SRX2510636,dcl2 dcl4,rosette leaf,Col-0,dcl2-1 dcl4-2 double mutant,--,PRJNA362650,11649471,0.9035,
SRX2510637,dcl2,rosette leaf,Col-0,dcl2-1 mutant,--,PRJNA362650,21475398,0.9408,
SRX2510638,dcl2,rosette leaf,Col-0,dcl2-1 mutant,--,PRJNA362650,11321003,0.9081,
SRX2510639,WT,rosette leaf,Col-0,wild type,--,PRJNA362650,20076392,0.9437,
SRX2510640,WT,rosette leaf,Col-0,wild type,--,PRJNA362650,12766129,0.8946,
SRX2511081,"Roots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 3 h after change (Control).",root,Col-0,--,control,PRJNA361001,13012500,0.8894,
SRX2511082,"Roots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 6 h after change (Control).",root,Col-0,--,control,PRJNA361001,8949547,0.935,
SRX2511083,"Roots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 12 h after change (Control).",root,Col-0,--,control,PRJNA361001,9264874,0.9388,
SRX2511084,"Roots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 24 h after change (Control).",root,Col-0,--,control,PRJNA361001,9058870,0.9404,
SRX2511085,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 3 h once the interaction was established,root,Col-0,--,Interaction between plant roots and Pseudomanas strains. Roots collected at 3h aHter PAO1 strain inoculation.,PRJNA361001,10644993,0.7899,
SRX2511086,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 6 h once the interaction was established,root,Col-0,--,Roots collected at 6h aHter PAO1 strain inoculation.,PRJNA361001,9129515,0.9391,
SRX2511087,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 12 h once the interaction was established,root,Col-0,--,Roots collected at 12h aHter PAO1 strain inoculation.,PRJNA361001,8915714,0.9463,
SRX2511088,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 24 h once the interaction was established.,root,Col-0,--,Roots collected at 24h aHter PAO1 strain inoculation.,PRJNA361001,7590830,0.9046,
SRX2511089,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PAO-JP1). Evaluated at 3 h once the interaction was established.,root,Col-0,--,Roots collected at 3h aHter PAO-JP1 strain inoculation.,PRJNA361001,11636938,0.934,
SRX2511090,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PAO-JP1). Evaluated at 6 h once the interaction was established.,root,Col-0,--,Roots collected at 6h aHter PAO-JP1 strain inoculation.,PRJNA361001,9197975,0.9307,
SRX2511091,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PAO-JP1). Evaluated at 12 h once the interaction was established.,root,Col-0,--,Roots collected at 12h aHter PAO-JP1 strain inoculation.,PRJNA361001,8401131,0.9389,
SRX2511092,Roots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PAO-JP1). Evaluated at 24 h once the interaction was established.,root,Col-0,--,Roots collected at 24h aHter PAO-JP1 strain inoculation.,PRJNA361001,8122973,0.9246,
SRX2511094,"Shoots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 3 h after change (Control)",shoot,Col-0,--,control,PRJNA361001,10177285,0.9447,
SRX2511095,"Shoots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 6 h after change (Control)",shoot,Col-0,--,control,PRJNA361001,8135267,0.9468,
SRX2511096,"Shoots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 12 h after change (Control)",shoot,Col-0,--,control,PRJNA361001,7387742,0.9475,
SRX2511097,"Shoots from 6-day-old Arabidopsis seedlings, transferred to fresh medium and evaluated 24 h after change (Control)",shoot,Col-0,--,control,PRJNA361001,7443630,0.954,
SRX2511098,Shoots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 3 h once the interaction was established,shoot,Col-0,--,Shoots collected at 3h aHter PAO1 strain inoculation.,PRJNA361001,10603340,0.9353,
SRX2511103,Shoots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 6 h once the interaction was established,shoot,Col-0,--,Shoots collected at 6h aHter PAO1 strain inoculation.,PRJNA361001,7245643,0.9487,
SRX2511108,Shoots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 12 h once the interaction was established,shoot,Col-0,--,Shoots collected at 12h aHter PAO1 strain inoculation.,PRJNA361001,7763482,0.954,
SRX2511109,Shoots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PA01). Evaluated at 24 h once the interaction was established,shoot,Col-0,--,Shoots collected at 24h aHter PAO1 strain inoculation.,PRJNA361001,7213743,0.9482,
SRX2511110,Shoots from 6-day-old Arabidopsis seedlings transferred and co-cultivated with P. aeruginosa (strain PAO-JP1). Evaluated at 3 h once the interaction was established,shoot,Col-0,--,Shoots collected at 3h aHter PAO-JP1 strain inoculation.,PRJNA361001,9591971,0.9431,
